precinct,office,party_detailed,party_simplified,mode,votes,county_name,county_fips,jurisdiction_name,jurisdiction_fips,candidate,district,dataverse,year,stage,state,special,writein,state_po,state_fips,state_cen,state_ic,date,magnitude
39-01,STATE HOUSE,REPUBLICAN,REPUBLICAN,IN-PERSON,257,SUSSEX,10005,SUSSEX,10005,DANIEL B SHORT,039,STATE,2024,GEN,DELAWARE,FALSE,FALSE,DE,10,51,11,2024-11-05,1
39-02,STATE HOUSE,REPUBLICAN,REPUBLICAN,IN-PERSON,458,SUSSEX,10005,SUSSEX,10005,DANIEL B SHORT,039,STATE,2024,GEN,DELAWARE,FALSE,FALSE,DE,10,51,11,2024-11-05,1
39-03,STATE HOUSE,REPUBLICAN,REPUBLICAN,IN-PERSON,338,SUSSEX,10005,SUSSEX,10005,DANIEL B SHORT,039,STATE,2024,GEN,DELAWARE,FALSE,FALSE,DE,10,51,11,2024-11-05,1
39-04,STATE HOUSE,REPUBLICAN,REPUBLICAN,IN-PERSON,300,SUSSEX,10005,SUSSEX,10005,DANIEL B SHORT,039,STATE,2024,GEN,DELAWARE,FALSE,FALSE,DE,10,51,11,2024-11-05,1
39-05,STATE HOUSE,REPUBLICAN,REPUBLICAN,IN-PERSON,544,SUSSEX,10005,SUSSEX,10005,DANIEL B SHORT,039,STATE,2024,GEN,DELAWARE,FALSE,FALSE,DE,10,51,11,2024-11-05,1
39-06,STATE HOUSE,REPUBLICAN,REPUBLICAN,IN-PERSON,612,SUSSEX,10005,SUSSEX,10005,DANIEL B SHORT,039,STATE,2024,GEN,DELAWARE,FALSE,FALSE,DE,10,51,11,2024-11-05,1
39-07,STATE HOUSE,REPUBLICAN,REPUBLICAN,IN-PERSON,235,SUSSEX,10005,SUSSEX,10005,DANIEL B SHORT,039,STATE,2024,GEN,DELAWARE,FALSE,FALSE,DE,10,51,11,2024-11-05,1
39-08,STATE HOUSE,REPUBLICAN,REPUBLICAN,IN-PERSON,169,SUSSEX,10005,SUSSEX,10005,DANIEL B SHORT,039,STATE,2024,GEN,DELAWARE,FALSE,FALSE,DE,10,51,11,2024-11-05,1
39-09,STATE HOUSE,REPUBLICAN,REPUBLICAN,IN-PERSON,141,SUSSEX,10005,SUSSEX,10005,DANIEL B SHORT,039,STATE,2024,GEN,DELAWARE,FALSE,FALSE,DE,10,51,11,2024-11-05,1
02-01,STATE HOUSE,DEMOCRAT,DEMOCRAT,IN-PERSON,167,NEW CASTLE,10003,NEW CASTLE,10003,STEPHANIE T BOLDEN,002,STATE,2024,GEN,DELAWARE,FALSE,FALSE,DE,10,51,11,2024-11-05,1
02-02,STATE HOUSE,DEMOCRAT,DEMOCRAT,IN-PERSON,101,NEW CASTLE,10003,NEW CASTLE,10003,STEPHANIE T BOLDEN,002,STATE,2024,GEN,DELAWARE,FALSE,FALSE,DE,10,51,11,2024-11-05,1
02-03,STATE HOUSE,DEMOCRAT,DEMOCRAT,IN-PERSON,86,NEW CASTLE,10003,NEW CASTLE,10003,STEPHANIE T BOLDEN,002,STATE,2024,GEN,DELAWARE,FALSE,FALSE,DE,10,51,11,2024-11-05,1
02-04,STATE HOUSE,DEMOCRAT,DEMOCRAT,IN-PERSON,355,NEW CASTLE,10003,NEW CASTLE,10003,STEPHANIE T BOLDEN,002,STATE,2024,GEN,DELAWARE,FALSE,FALSE,DE,10,51,11,2024-11-05,1
02-05,STATE HOUSE,DEMOCRAT,DEMOCRAT,IN-PERSON,289,NEW CASTLE,10003,NEW CASTLE,10003,STEPHANIE T BOLDEN,002,STATE,2024,GEN,DELAWARE,FALSE,FALSE,DE,10,51,11,2024-11-05,1
02-06,STATE HOUSE,DEMOCRAT,DEMOCRAT,IN-PERSON,419,NEW CASTLE,10003,NEW CASTLE,10003,STEPHANIE T BOLDEN,002,STATE,2024,GEN,DELAWARE,FALSE,FALSE,DE,10,51,11,2024-11-05,1
02-07,STATE HOUSE,DEMOCRAT,DEMOCRAT,IN-PERSON,546,NEW CASTLE,10003,NEW CASTLE,10003,STEPHANIE T BOLDEN,002,STATE,2024,GEN,DELAWARE,FALSE,FALSE,DE,10,51,11,2024-11-05,1
02-08,STATE HOUSE,DEMOCRAT,DEMOCRAT,IN-PERSON,224,NEW CASTLE,10003,NEW CASTLE,10003,STEPHANIE T BOLDEN,002,STATE,2024,GEN,DELAWARE,FALSE,FALSE,DE,10,51,11,2024-11-05,1
02-09,STATE HOUSE,DEMOCRAT,DEMOCRAT,IN-PERSON,290,NEW CASTLE,10003,NEW CASTLE,10003,STEPHANIE T BOLDEN,002,STATE,2024,GEN,DELAWARE,FALSE,FALSE,DE,10,51,11,2024-11-05,1
