District,Total Population,White,Black,Latino,Other
1,765137,440636,210695,59328,54478
2,765137,305611,375124,45499,38903
3,765136,492494,173004,48285,51353
4,765137,150803,363780,147267,103287
5,765137,237353,380936,75635,71213
6,765136,227858,383970,94388,58920
7,765137,487523,59278,78323,140013
8,765136,443123,227430,54850,39733
9,765135,466010,91138,123476,84511
10,765137,478059,178393,58198,50487
11,765135,510228,87548,92947,74412
12,765136,398843,276358,43065,46870
13,765136,188099,379689,110825,86523
14,765136,535516,90776,91371,47473
