Unique_ID,num_neighbors
05001-11 - McFall,5.0
05001-12 - Crockett,3.0
05001-13 - Keaton,8.0
05001-14 - Mill Bayou,7.0
05001-15 - Almyra,1.0
05001-21 - Prairie,8.0
05001-22 - Lagrue,10.0
05001-23 - St. Charles,1.0
05001-31 - Chester,6.0
05001-32 - Arkansas,7.0
05001-33 - Stanley,8.0
05001-34 - Gillett Ward 1,3.0
05001-35 - Gillett Ward 2,3.0
05001-36 - Gillett Ward 3,3.0
05001-37 - PT Deluce,5.0
05001-38 - Bayou Meto,5.0
05001-41 - Morris,8.0
05001-42 - Gum Pond,8.0
05001-43 - Barton,6.0
05001-44 - Henton,8.0
05001-45 - Brewer,6.0
05001-46 - Garland,6.0
05001-47 - Humphrey Ward 1,5.0
05001-48 - Humphrey Ward 3,4.0
05001-51 - DeWitt 1,2.0
05001-53 - Dewitt 2,3.0
05001-55 - Dewitt 3,2.0
05001-71 - Stuttgart 1,3.0
05001-81 - Stuttgart 2,4.0
05001-91 - Stuttgart 3,4.0
05003-01 - Crossett Ward 1,6.0
05003-02 - Crossett Ward 2,4.0
05003-03 - Crossett Ward 3,3.0
05003-04 - North Crossett East,6.0
05003-05 - North Crossett West,6.0
05003-06 - West Crossett Rural,8.0
05003-07 - VO - Tech,4.0
05003-08 - Cooter,5.0
05003-09 - Hickory Grove,7.0
05003-10 - Cross Roads,6.0
05003-11 - Hamburg Ward 3,3.0
05003-12 - Hamburg Ward 2,3.0
05003-13 - Hamburg Ward 1,3.0
05003-14 - Hamburg Rural,11.0
05003-15 - Mt. Zion,5.0
05003-16 - Milo,6.0
05003-17 - Beech Creek,6.0
05003-18 - Mist,5.0
05003-19 - Fountain Hill City,1.0
05003-20 - Fountain Hill Rural,7.0
05003-21 - Portland City,1.0
05003-22 - Portland Rural,8.0
05003-23 - Boydell,5.0
05003-24 - Snyder / Trafalgar,6.0
05003-25 - Montrose City,1.0
05003-26 - Montrose Rural,5.0
05003-27 - Parkdale City,1.0
05003-28 - Parkdale Rural,5.0
05003-29 - Wilmot City,1.0
05003-30 - Wilmot Rural,5.0
05005-01,6.0
05005-02,6.0
05005-03,7.0
05005-04,5.0
05005-05,4.0
05005-06,6.0
05005-07,5.0
05005-08,7.0
05005-09,4.0
05005-10,5.0
05005-11,14.0
05007-001,8.0
05007-002,8.0
05007-003,3.0
05007-004,3.0
05007-005,3.0
05007-006,4.0
05007-007,6.0
05007-008,7.0
05007-009,4.0
05007-010,3.0
05007-011,6.0
05007-012,4.0
05007-013,2.0
05007-014,3.0
05007-015,3.0
05007-016,9.0
05007-017,8.0
05007-018,5.0
05007-019,5.0
05007-020,4.0
05007-021,3.0
05007-022,5.0
05007-023,6.0
05007-024,7.0
05007-025,4.0
05007-026,5.0
05007-027,7.0
05007-028,8.0
05007-029,9.0
05007-030,3.0
05007-031,1.0
05007-032,6.0
05007-033,2.0
05007-034,5.0
05007-035,3.0
05007-036,10.0
05007-037,3.0
05007-038,3.0
05007-039,6.0
05007-040,2.0
05007-041,4.0
05007-042,3.0
05007-043,3.0
05007-044,2.0
05007-045,5.0
05007-046,4.0
05007-047,4.0
05007-048,4.0
05007-049,7.0
05007-050,2.0
05007-051,7.0
05007-052,3.0
05007-053,5.0
05007-054,6.0
05007-055,5.0
05007-056,7.0
05007-057,10.0
05007-058,8.0
05007-059,3.0
05007-060,4.0
05007-061,10.0
05007-062,9.0
05007-063,4.0
05007-064,4.0
05007-065,6.0
05007-066,5.0
05007-067,7.0
05007-068,8.0
05007-069,7.0
05007-070,5.0
05007-071,5.0
05007-072,4.0
05007-073,8.0
05007-074,9.0
05007-075,3.0
05007-076,4.0
05007-077,3.0
05007-078,4.0
05007-079,2.0
05007-080,9.0
05007-081,2.0
05007-082,4.0
05007-083,4.0
05007-084,5.0
05007-085,9.0
05007-086,3.0
05007-087,5.0
05007-088,6.0
05007-089,8.0
05007-090,4.0
05007-091,4.0
05007-092,4.0
05007-093,8.0
05007-094,8.0
05007-095,4.0
05007-096,4.0
05007-097,6.0
05007-098,7.0
05007-099,8.0
05007-100,3.0
05007-101,3.0
05007-102,4.0
05007-103,4.0
05007-104,7.0
05007-105,3.0
05007-106,10.0
05007-107,3.0
05007-108,4.0
05007-109,4.0
05007-110,5.0
05007-111,6.0
05007-112,4.0
05007-113,8.0
05007-114,7.0
05007-115,5.0
05007-116,3.0
05007-117,6.0
05007-118,5.0
05007-119,11.0
05007-120,4.0
05007-121,3.0
05007-122,5.0
05007-123,5.0
05007-124,13.0
05007-125,7.0
05007-126,3.0
05007-127,5.0
05007-128,6.0
05007-129,5.0
05007-130,5.0
05007-131,4.0
05007-132,3.0
05007-133,4.0
05007-134,5.0
05007-135,8.0
05007-136,6.0
05007-137,6.0
05007-138,2.0
05007-139,12.0
05007-140,5.0
05007-141,5.0
05007-142,6.0
05007-143,4.0
05007-144,5.0
05007-145,5.0
05007-146,4.0
05007-147,6.0
05007-148,4.0
05007-149,6.0
05007-150,12.0
05007-151,11.0
05007-152,3.0
05007-153,5.0
05007-154,3.0
05007-155,10.0
05007-156,4.0
05007-157,7.0
05007-158,1.0
05007-159,3.0
05007-160,8.0
05007-161,3.0
05007-162,3.0
05007-163,9.0
05007-164,6.0
05007-165,8.0
05007-166,3.0
05007-167,6.0
05007-168,3.0
05007-169,5.0
05007-170,6.0
05007-171,3.0
05007-172,9.0
05007-173,4.0
05007-174,4.0
05007-175,3.0
05007-176,8.0
05007-177,2.0
05007-178,4.0
05007-179,3.0
05007-180,4.0
05007-181,5.0
05007-183,3.0
05007-184,4.0
05007-185,4.0
05007-186,6.0
05007-187,3.0
05007-188,2.0
05007-189,6.0
05007-190,14.0
05007-191,4.0
05007-192,5.0
05007-193,3.0
05007-194,3.0
05007-195,5.0
05007-196,4.0
05007-197,9.0
05007-198,5.0
05007-199,3.0
05007-200,6.0
05007-201,8.0
05007-202,5.0
05007-203,4.0
05007-204,5.0
05007-205,3.0
05007-206,4.0
05007-207,3.0
05007-208,5.0
05007-209,6.0
05007-210,10.0
05007-211,4.0
05007-212,9.0
05007-213,3.0
05007-214,9.0
05007-215,9.0
05007-216,6.0
05007-218,6.0
05007-219,2.0
05007-220,6.0
05007-221,4.0
05007-222,7.0
05007-223,11.0
05007-224,8.0
05007-225,6.0
05007-226,5.0
05007-227,3.0
05007-228,3.0
05007-229,8.0
05007-230,7.0
05007-231,7.0
05007-232,6.0
05007-233,2.0
05007-234,4.0
05007-235,9.0
05007-237,7.0
05007-238,5.0
05007-240,5.0
05007-241,3.0
05007-242,2.0
05007-243,10.0
05007-244,3.0
05007-245,6.0
05007-246,8.0
05007-247,3.0
05007-248,7.0
05007-249,5.0
05007-250,7.0
05007-251,3.0
05007-252,2.0
05007-253,4.0
05007-255,2.0
05007-256,9.0
05007-257,6.0
05007-258,8.0
05007-259,6.0
05007-260,3.0
05007-261,3.0
05007-262,7.0
05007-263,3.0
05007-264,7.0
05007-265,4.0
05007-266,8.0
05007-267,4.0
05007-268,3.0
05007-269,4.0
05007-270,4.0
05007-271,4.0
05007-272,8.0
05007-273,5.0
05007-274,7.0
05007-275,8.0
05007-276,7.0
05007-277,4.0
05007-278,3.0
05007-279,8.0
05007-280,3.0
05007-281,3.0
05007-282,2.0
05007-283,4.0
05007-284,2.0
05007-285,8.0
05007-286,6.0
05007-287,9.0
05007-288,4.0
05007-289,5.0
05007-290,5.0
05007-291,5.0
05007-292,7.0
05007-293,2.0
05007-294,4.0
05007-295,6.0
05007-296,6.0
05007-297,5.0
05007-298,5.0
05007-299,3.0
05007-300,7.0
05007-301,5.0
05007-302,4.0
05007-303,10.0
05007-304,2.0
05007-305,7.0
05007-306,6.0
05007-307,3.0
05007-308,7.0
05007-309,5.0
05007-310,7.0
05007-311,7.0
05007-312,2.0
05007-313,9.0
05007-314,8.0
05007-315,3.0
05007-316,3.0
05007-317,1.0
05007-318,7.0
05007-319,8.0
05007-320,5.0
05007-321,4.0
05007-322,6.0
05007-323,5.0
05007-324,5.0
05007-325,6.0
05007-326,6.0
05007-327,5.0
05007-328,3.0
05007-329,6.0
05007-330,4.0
05007-331,2.0
05007-333,7.0
05007-334,4.0
05007-335,6.0
05007-336,7.0
05007-337,3.0
05007-338,11.0
05007-339,4.0
05007-340,4.0
05007-341,8.0
05007-342,4.0
05007-343,5.0
05007-344,5.0
05007-345,7.0
05007-346,10.0
05007-347,4.0
05007-348,4.0
05007-349,5.0
05007-350,11.0
05007-351,4.0
05007-352,8.0
05007-353,4.0
05007-354,3.0
05007-355,7.0
05007-356,2.0
05007-357,2.0
05007-358,3.0
05007-359,5.0
05007-360,7.0
05007-361,4.0
05007-362,12.0
05007-363,3.0
05007-364,3.0
05007-365,3.0
05007-366,3.0
05007-367,2.0
05007-368,10.0
05007-369,5.0
05007-370,11.0
05007-371,5.0
05007-372,4.0
05007-374,2.0
05007-375,5.0
05007-376,3.0
05007-377,18.0
05007-378,4.0
05007-379,5.0
05007-380,5.0
05007-381,9.0
05007-382,3.0
05007-383,6.0
05007-384,2.0
05007-385,6.0
05007-386,3.0
05007-387,7.0
05007-388,2.0
05007-389,9.0
05007-390,3.0
05007-391,3.0
05007-392,3.0
05007-393,7.0
05007-394,10.0
05007-395,3.0
05007-396,3.0
05007-397,2.0
05007-398,4.0
05007-399,5.0
05007-400,8.0
05007-401,3.0
05007-402,2.0
05007-403,5.0
05007-404,4.0
05007-405,4.0
05007-406,4.0
05007-407,6.0
05007-408,5.0
05007-409,5.0
05007-410,6.0
05007-411,2.0
05007-412,6.0
05007-413,13.0
05007-414,4.0
05007-415,4.0
05007-416,6.0
05007-417,7.0
05007-418,1.0
05007-419,6.0
05007-420,4.0
05007-421,5.0
05007-422,2.0
05007-423,3.0
05007-424,8.0
05007-425,8.0
05007-426,3.0
05007-427,4.0
05007-428,2.0
05007-429,3.0
05009-Diamond City 12,1.0
05009-District 1,5.0
05009-District 10,5.0
05009-District 11,6.0
05009-District 2,3.0
05009-District 3,5.0
05009-District 4,3.0
05009-District 5,7.0
05009-District 6,6.0
05009-District 7,8.0
05009-District 8,9.0
05009-District 9,6.0
05011-01 - Warren Ward 1,3.0
05011-02 - Warren Ward 2,4.0
05011-03 - Warren Ward 3,3.0
05011-04 - North,9.0
05011-05 - South,9.0
05011-06 - Banks City,1.0
05011-07 - Banks Rural,8.0
05011-08 - Springhill,5.0
05011-09 - Hermitage City,1.0
05011-10 - Hermitage Rural,6.0
05011-11 - Eagle Lake,7.0
05011-12 - Jersey,7.0
05011-13 - Johnsville,7.0
05011-14 - Marion,4.0
05013-Bearden,4.0
05013-Chambersville,8.0
05013-Champagnolle,10.0
05013-Hampton,4.0
05013-Harrell,5.0
05013-Locust,6.0
05013-Tinsman,6.0
05013-Woodberry,5.0
05015-Berryville East,3.0
05015-Berryville West,2.0
05015-Eureka Springs,3.0
05015-Holiday Island,3.0
05015-Kings River,7.0
05015-Lakes Area,8.0
05015-North Hickory,3.0
05015-Prairies,8.0
05015-South Carroll,8.0
05015-South Hickory,3.0
05015-Yocum,6.0
05017-104 - Carlton Rural,7.0
05017-202 - Planters 2,1.0
05017-304 - Bowie Rural,8.0
"05017-BOWIE 1, 2, 3",2.0
"05017-BOWIE 1, 2, 3 JP. DIST 2",2.0
"05017-CARLTON 1, 2, 3",1.0
"05017-PLANTERS 1, 3, 4, Rural",5.0
05019-Amity City,2.0
05019-Arkadelphia Ward 1,4.0
05019-Arkadelphia Ward 2,6.0
05019-Arkadelphia Ward 3,5.0
05019-Arkadelphia Ward 4,4.0
05019-Arkadelphia Ward 5,3.0
"05019-Caddo Valley Wards 1,2,3",1.0
05019-Central 1,6.0
05019-Curtis 1,8.0
05019-East County 1,9.0
05019-Gum Springs Inside/Outside 1,4.0
05019-Gurdon Gen 1,5.0
"05019-Gurdon Wards 1, 2, 3, 4, 5",2.0
05019-Hollywood 1,6.0
05019-North County,11.0
05019-North East County,11.0
05019-Okolona City 1,1.0
05019-South County 1,7.0
05019-West County 1,6.0
05019-Whelen Springs 1,1.0
05021-01 - North St Francis,4.0
05021-02 - South St Francis,3.0
05021-03 - E Oak Bluff & Blue Cane,4.0
05021-04 - West Oak Bluff,5.0
05021-05 - Bennett & Lemmons,6.0
05021-06 - Bradshaw & Haywood,8.0
05021-07 - Johnson,5.0
05021-08 - Knob,5.0
05021-09 - Liddell & chalk Bluff,2.0
05021-10 - Payne & Swain,3.0
05021-11 - Pollard,4.0
05021-12 - Brown & Carpenter,4.0
05021-13 - Cache & Wilson,7.0
05021-14 - Clark,6.0
05021-15 - Nelson,5.0
05021-16 - Cleveland & N Kilgore,3.0
