precinct_a,precinct_b,shared_boundary_ft
05001-81 - Stuttgart 2,05001-41 - Morris,25488.828320322722
05001-81 - Stuttgart 2,05001-91 - Stuttgart 3,12281.342283026672
05001-81 - Stuttgart 2,05001-71 - Stuttgart 1,6494.1743734213505
05001-81 - Stuttgart 2,05001-42 - Gum Pond,12601.386043761122
05001-36 - Gillett Ward 3,05001-35 - Gillett Ward 2,6071.4624244334955
05001-36 - Gillett Ward 3,05001-34 - Gillett Ward 1,2705.598253375819
05001-36 - Gillett Ward 3,05001-33 - Stanley,20171.707111030584
05001-53 - Dewitt 2,05001-55 - Dewitt 3,18329.778020425743
05001-53 - Dewitt 2,05001-22 - Lagrue,12610.945922626666
05001-53 - Dewitt 2,05001-51 - DeWitt 1,9367.755091979601
05001-51 - DeWitt 1,05001-22 - Lagrue,11553.13370340271
05001-55 - Dewitt 3,05001-22 - Lagrue,18838.43978623807
05001-35 - Gillett Ward 2,05001-34 - Gillett Ward 1,5789.055675637157
05001-35 - Gillett Ward 2,05001-33 - Stanley,1268.8304557774195
05001-34 - Gillett Ward 1,05001-33 - Stanley,6652.914439682376
05001-15 - Almyra,05001-14 - Mill Bayou,13447.738355888352
05001-21 - Prairie,05001-31 - Chester,52696.66168536887
05001-21 - Prairie,05001-37 - PT Deluce,24305.61770001486
05001-21 - Prairie,05107-Elaine Votech P16,141059.90409290534
05001-21 - Prairie,05001-23 - St. Charles,24029.583507045336
05001-21 - Prairie,05095-26 - Montgomery/Smalley Townsh,35721.89818956577
05001-21 - Prairie,05001-12 - Crockett,45584.97486854481
05001-21 - Prairie,05001-13 - Keaton,15950.801084889274
05001-21 - Prairie,05001-22 - Lagrue,53345.22110354682
05001-48 - Humphrey Ward 3,05069-07,1733.52905226919
05001-48 - Humphrey Ward 3,05069-530,901.6661096791091
05001-48 - Humphrey Ward 3,05001-44 - Henton,7899.620649445737
05001-48 - Humphrey Ward 3,05001-47 - Humphrey Ward 1,4724.895067010646
05001-71 - Stuttgart 1,05001-91 - Stuttgart 3,4628.9192501953585
05001-71 - Stuttgart 1,05001-42 - Gum Pond,56653.656629714766
05001-37 - PT Deluce,05001-32 - Arkansas,15986.55979566579
05001-37 - PT Deluce,05001-33 - Stanley,37793.22102812235
05001-37 - PT Deluce,05001-31 - Chester,54771.6718520992
05001-37 - PT Deluce,05001-22 - Lagrue,53461.021436607916
05001-22 - Lagrue,05001-33 - Stanley,16359.050201364229
05001-22 - Lagrue,05001-38 - Bayou Meto,26207.31595375167
05001-22 - Lagrue,05001-13 - Keaton,37248.7988755756
05001-22 - Lagrue,05001-46 - Garland,28051.75604616163
05001-22 - Lagrue,05001-14 - Mill Bayou,11102.689332294643
05001-91 - Stuttgart 3,05001-41 - Morris,13188.723821986125
05001-91 - Stuttgart 3,05001-42 - Gum Pond,6537.022103973976
05001-46 - Garland,05001-38 - Bayou Meto,40663.61249856898
05001-46 - Garland,05001-14 - Mill Bayou,37155.207855386674
05001-46 - Garland,05001-41 - Morris,21845.17644796343
05001-46 - Garland,05001-45 - Brewer,20365.96987824271
05001-46 - Garland,05001-43 - Barton,24813.92260566073
05001-14 - Mill Bayou,05001-13 - Keaton,50035.01402967759
05001-14 - Mill Bayou,05001-41 - Morris,38036.31824481034
05001-14 - Mill Bayou,05001-11 - McFall,28192.96468330411
05001-14 - Mill Bayou,05001-42 - Gum Pond,10609.417023010981
05001-41 - Morris,05001-42 - Gum Pond,6936.3249634979065
05001-41 - Morris,05001-43 - Barton,22870.429150727516
05001-41 - Morris,05001-44 - Henton,39918.89203166939
05001-41 - Morris,05117-Belcher / Tyler,6166.122011363177
05001-31 - Chester,05001-32 - Arkansas,55945.0595843927
05001-31 - Chester,05041-08 - Franklin,23515.652130322876
05001-31 - Chester,05041-18 - Redfork,152999.31681682117
05001-31 - Chester,05041-11 - Mississippi,100190.28633919463
05001-47 - Humphrey Ward 1,05069-530,886.2173078750797
05001-47 - Humphrey Ward 1,05001-44 - Henton,8392.548881856232
05001-47 - Humphrey Ward 1,05069-510,3269.6863555976915
05001-47 - Humphrey Ward 1,05069-03,1122.0994477453423
05001-32 - Arkansas,05041-20 - Silver Lake,15938.555998586346
05001-32 - Arkansas,05079-001 - Auburn,28363.269245970318
05001-32 - Arkansas,05069-010,17682.624738405906
05001-32 - Arkansas,05001-33 - Stanley,31169.574402937476
05001-32 - Arkansas,05041-18 - Redfork,47335.851726638255
05001-11 - McFall,05001-13 - Keaton,37455.389131040276
05001-11 - McFall,05001-42 - Gum Pond,31909.2084413954
05001-11 - McFall,05095-30 - Roc-Roe Township,2473.2402155425907
05001-11 - McFall,05117-Roc Roe Country,30052.37117703836
05001-38 - Bayou Meto,05069-010,75231.22975170378
05001-38 - Bayou Meto,05001-33 - Stanley,55780.24142574615
05001-38 - Bayou Meto,05001-45 - Brewer,25144.680824379157
05001-45 - Brewer,05069-010,30033.27667586102
05001-45 - Brewer,05069-09,35164.611723359085
05001-45 - Brewer,05069-08,25225.538432052745
05001-45 - Brewer,05001-43 - Barton,37857.63324592926
05001-42 - Gum Pond,05117-Roc Roe Country,32739.237022043464
05001-42 - Gum Pond,05117-Belcher / Tyler,31848.677352526873
05001-12 - Crockett,05095-26 - Montgomery/Smalley Townsh,79533.89254653222
05001-12 - Crockett,05001-13 - Keaton,71646.78560116664
05001-43 - Barton,05069-08,3685.207660946521
05001-43 - Barton,05069-07,18843.400956475456
05001-43 - Barton,05001-44 - Henton,51186.25317052629
05001-44 - Henton,05069-07,17447.247623856874
05001-44 - Henton,05069-03,17458.34946669316
05001-44 - Henton,05085-27 - Crooked Creek TWP,8154.585923738568
05001-44 - Henton,05117-Belcher / Tyler,18781.829235234934
05001-13 - Keaton,05095-26 - Montgomery/Smalley Townsh,702.1465888358858
05001-13 - Keaton,05095-24 - Jackson Township,63928.85419591398
05001-13 - Keaton,05095-30 - Roc-Roe Township,25970.09574944423
05001-33 - Stanley,05069-010,14864.052725409281
05003-09 - Hickory Grove,05003-03 - Crossett Ward 3,10885.684497947164
05003-09 - Hickory Grove,05003-02 - Crossett Ward 2,14645.550774374839
05003-09 - Hickory Grove,05003-01 - Crossett Ward 1,14934.676025703371
05003-09 - Hickory Grove,05003-04 - North Crossett East,19873.530752598894
05003-09 - Hickory Grove,05003-15 - Mt. Zion,46345.73182100781
05003-09 - Hickory Grove,05139-Huttig,50422.234109967976
05003-09 - Hickory Grove,05003-06 - West Crossett Rural,57814.21657403895
05003-25 - Montrose City,05003-26 - Montrose Rural,18041.704382425334
05003-27 - Parkdale City,05003-28 - Parkdale Rural,21398.62398138071
05003-29 - Wilmot City,05003-30 - Wilmot Rural,44724.20301620997
05003-02 - Crossett Ward 2,05003-03 - Crossett Ward 3,10901.645029448066
05003-02 - Crossett Ward 2,05003-01 - Crossett Ward 1,9982.595823175052
05003-02 - Crossett Ward 2,05003-06 - West Crossett Rural,6348.353246740229
05003-30 - Wilmot Rural,05003-28 - Parkdale Rural,48239.480490106485
05003-30 - Wilmot Rural,05003-15 - Mt. Zion,39908.00779417675
05003-30 - Wilmot Rural,05003-17 - Beech Creek,25478.74293317357
05003-30 - Wilmot Rural,"05017-PLANTERS 1, 3, 4, Rural",21857.573947134275
05003-03 - Crossett Ward 3,05003-01 - Crossett Ward 1,7194.926049204126
05003-06 - West Crossett Rural,05003-01 - Crossett Ward 1,11983.361648187025
05003-06 - West Crossett Rural,05003-05 - North Crossett West,12595.971877487367
05003-06 - West Crossett Rural,05139-Huttig,10442.702146305846
05003-06 - West Crossett Rural,05139-New London,34640.397775647376
05003-06 - West Crossett Rural,05011-11 - Eagle Lake,13730.930461164102
05003-06 - West Crossett Rural,05003-08 - Cooter,43674.24420256268
05003-28 - Parkdale Rural,05003-22 - Portland Rural,42347.44469522846
05003-28 - Parkdale Rural,05003-17 - Beech Creek,15513.1367645834
05003-28 - Parkdale Rural,"05017-PLANTERS 1, 3, 4, Rural",20972.274766156344
05003-15 - Mt. Zion,05003-04 - North Crossett East,5599.235655766657
05003-15 - Mt. Zion,05003-17 - Beech Creek,22671.43412557036
05003-15 - Mt. Zion,05003-14 - Hamburg Rural,52933.391417897255
05003-01 - Crossett Ward 1,05003-04 - North Crossett East,7676.285769899542
05003-01 - Crossett Ward 1,05003-05 - North Crossett West,11863.554281792874
05003-21 - Portland City,05003-22 - Portland Rural,29330.292265426255
05003-04 - North Crossett East,05003-05 - North Crossett West,9871.748870268304
05003-04 - North Crossett East,05003-07 - VO - Tech,22173.491071993456
05003-04 - North Crossett East,05003-14 - Hamburg Rural,7600.222922949808
05003-05 - North Crossett West,05003-07 - VO - Tech,5061.67619179427
05003-05 - North Crossett West,05003-10 - Cross Roads,4628.512252147666
05003-05 - North Crossett West,05003-08 - Cooter,9066.11377813808
05003-07 - VO - Tech,05003-10 - Cross Roads,32885.68210410148
05003-07 - VO - Tech,05003-14 - Hamburg Rural,2630.9383475234763
05003-11 - Hamburg Ward 3,05003-14 - Hamburg Rural,19104.196111578352
05003-11 - Hamburg Ward 3,05003-13 - Hamburg Ward 1,5118.574502401928
05003-11 - Hamburg Ward 3,05003-12 - Hamburg Ward 2,6711.687799658921
05003-08 - Cooter,05003-10 - Cross Roads,41346.65666445751
05003-08 - Cooter,05011-11 - Eagle Lake,49939.64434656871
05003-08 - Cooter,05011-13 - Johnsville,25186.23387212747
05003-17 - Beech Creek,05003-22 - Portland Rural,32130.032597194895
05003-17 - Beech Creek,05003-14 - Hamburg Rural,9687.923116822043
05003-17 - Beech Creek,05003-18 - Mist,52570.85570387678
05003-13 - Hamburg Ward 1,05003-14 - Hamburg Rural,14050.025043296246
05003-13 - Hamburg Ward 1,05003-12 - Hamburg Ward 2,6088.9155547073615
05003-12 - Hamburg Ward 2,05003-14 - Hamburg Rural,17177.388592437284
05003-14 - Hamburg Rural,05003-10 - Cross Roads,31756.956635083836
05003-14 - Hamburg Rural,05003-16 - Milo,10679.901550237822
05003-14 - Hamburg Rural,05003-18 - Mist,53586.72370973071
05003-14 - Hamburg Rural,05003-20 - Fountain Hill Rural,42700.05816008488
05003-10 - Cross Roads,05003-16 - Milo,50152.865752388745
05003-10 - Cross Roads,05011-13 - Johnsville,9143.079331664589
05003-22 - Portland Rural,05003-26 - Montrose Rural,28345.27309661233
05003-22 - Portland Rural,05003-24 - Snyder / Trafalgar,22960.854218367593
05003-22 - Portland Rural,05003-18 - Mist,10716.163630425597
05003-22 - Portland Rural,"05017-PLANTERS 1, 3, 4, Rural",10623.908396286353
05003-22 - Portland Rural,05017-104 - Carlton Rural,37034.893181481726
05003-16 - Milo,05003-20 - Fountain Hill Rural,37056.37632180129
05003-16 - Milo,05043-08 - Lacey,5590.302095255067
05003-16 - Milo,05043-12 - Ozment,30541.187276320314
05003-16 - Milo,05011-13 - Johnsville,98844.81284052104
05003-18 - Mist,05003-24 - Snyder / Trafalgar,37298.387198028904
05003-18 - Mist,05003-20 - Fountain Hill Rural,37070.3526705047
05003-26 - Montrose Rural,05003-24 - Snyder / Trafalgar,39556.800401808025
05003-26 - Montrose Rural,05003-23 - Boydell,31808.93405485993
05003-26 - Montrose Rural,05017-104 - Carlton Rural,21369.003549197525
05003-19 - Fountain Hill City,05003-20 - Fountain Hill Rural,15894.304472279673
05003-23 - Boydell,05003-24 - Snyder / Trafalgar,46649.59653634652
05003-23 - Boydell,05043-07 - Jerome,31120.797729336937
05003-23 - Boydell,05043-05 - Collins,400.739461410592
05003-23 - Boydell,05017-104 - Carlton Rural,16360.020733241085
05003-24 - Snyder / Trafalgar,05003-20 - Fountain Hill Rural,49377.57976681293
05003-24 - Snyder / Trafalgar,05043-05 - Collins,18959.872077792923
05003-20 - Fountain Hill Rural,05043-08 - Lacey,74001.74752493064
05003-20 - Fountain Hill Rural,05043-05 - Collins,7534.276661186093
05005-01,05089-Precinct 08,62929.41065789489
05005-01,05005-10,24076.10413135419
05005-01,05005-06,31937.27191840345
05005-01,05005-02,44562.95368067611
05005-01,05089-Precinct 06,18286.964691521716
05005-01,05089-Precinct 05,8181.024843934638
05005-02,05005-03,91692.30855995516
05005-02,05005-06,21380.56001517233
05005-02,05005-04,28017.588973663096
05005-02,05089-Precinct 05,11499.381220162928
05005-02,05089-Precinct 02,17255.18544630485
05005-03,05005-11,34487.720755889604
05005-03,05005-09,86307.62890307615
05005-03,05005-07,9938.411333600407
05005-03,05005-04,11506.582639992948
05005-03,05049-Cleveland,10630.180697645295
05005-03,05049-Vidette - Big Creek,76114.27240502619
05005-04,05005-07,6810.075222664469
05005-04,05005-05,13579.19574316141
05005-04,05005-06,8361.161692115324
05005-05,05005-07,18478.166106185283
05005-05,05005-08,6604.614958865822
05005-05,05005-06,9253.351609748353
05005-06,05005-08,28742.773396062785
05005-06,05005-10,38907.983166338105
05005-07,05005-09,32101.629788608017
05005-07,05005-08,10744.017424592927
05005-08,05005-11,62990.46099902093
05005-08,05005-09,34447.44773866711
05005-08,05089-Precinct 19,2075.676686490947
05005-08,05005-10,21676.2430371181
05005-09,05005-11,50933.10418966004
05005-10,05089-Precinct 08,10907.278985283057
05005-10,05089-Precinct 19,30035.670153433133
05005-11,05129-Long Creek,1181.356068919232
05005-11,05129-Rock Creek,27515.84649859876
05005-11,05089-Precinct 21,73092.05773075474
05005-11,05089-Precinct 20,25774.337881184612
05005-11,05137-Foothills,26829.21484542098
05005-11,05137-Bethany,35856.41389153768
05005-11,05137-NORTHWEST/FIFTY SIX,63539.51286876128
05005-11,05089-Precinct 19,12217.00812921838
05005-11,05065-Calico Rock Rural,44853.17370124502
05005-11,05065-Dolph,23996.85360830178
05005-11,05049-Cleveland,663.4356515257197
05007-081,05007-080,791.0733147459997
05007-081,05007-036,824.3660557181759
