UNIQUE_ID,num_neighbors
APPLING-:-1B,6.0
APPLING-:-1C,6.0
APPLING-:-2,5.0
APPLING-:-3A1,7.0
APPLING-:-3C,7.0
APPLING-:-4B,6.0
APPLING-:-4D,5.0
APPLING-:-5A,5.0
APPLING-:-5B,6.0
ATKINSON-:-AXSON,6.0
ATKINSON-:-PEARSON CITY,1.0
ATKINSON-:-PEARSON COUNTY,7.0
ATKINSON-:-WILLACOOCHEE,6.0
BACON-:-DOUGLAS,11.0
BAKER-:-ANNA,5.0
BAKER-:-ELMODEL,4.0
BAKER-:-HOGGARDS MILL,8.0
BAKER-:-MILFORD,10.0
BAKER-:-NEWTON,4.0
BALDWIN-:-CITY HALL ANNEX,7.0
BALDWIN-:-COOPERS,6.0
BALDWIN-:-COURTHOUSE,4.0
BALDWIN-:-EAST BALDWIN,12.0
BALDWIN-:-EAST HARDWICK,4.0
BALDWIN-:-EAST MILLEDGEVILLE,5.0
BALDWIN-:-MERIWETHER,6.0
BALDWIN-:-NORTH BALDWIN,6.0
BALDWIN-:-NORTH MILLEDGEVILLE,6.0
BALDWIN-:-SCOTTSBORO,6.0
BALDWIN-:-SOUTH MILLEDGEVILLE,6.0
BALDWIN-:-WEST BALDWIN,6.0
BALDWIN-:-WEST HARDWICK,7.0
BALDWIN-:-WEST THOMAS,6.0
BANKS-:-ANDERSON,5.0
BANKS-:-BALDWIN,5.0
BANKS-:-BERLIN,4.0
BANKS-:-BUSHVILLE,7.0
BANKS-:-COLUMBIA,6.0
BANKS-:-DAVIDS,4.0
BANKS-:-GOLDEN HILL,6.0
BANKS-:-GROVE RIVER,5.0
BANKS-:-HOLLINGSWORTH,6.0
BANKS-:-HOMER,7.0
BANKS-:-POPLAR SPRINGS,5.0
BANKS-:-WASHINGTON,5.0
BANKS-:-WILMONTS,5.0
BARROW-:-1,6.0
BARROW-:-13,6.0
BARROW-:-16,7.0
BARROW-:-2,7.0
BARROW-:-3,5.0
BARROW-:-4,5.0
BARROW-:-5,7.0
BARROW-:-8,5.0
BARTOW-:-ADAIRSVILLE,6.0
BARTOW-:-ALLATOONA,7.0
BARTOW-:-CARTERSVILLE EAST,7.0
BARTOW-:-CARTERSVILLE WEST,5.0
BARTOW-:-CASSVILLE,4.0
BARTOW-:-CENTER,6.0
BARTOW-:-EMERSON,10.0
BARTOW-:-EUHARLEE,3.0
BARTOW-:-FOLSOM,5.0
BARTOW-:-HAMILTON CROSSING,7.0
BARTOW-:-KINGSTON,7.0
BARTOW-:-MISSION ROAD,8.0
