precinct_a,precinct_b,shared_boundary_ft
APPLING-:-1B,APPLING-:-2,5224.1869628703
APPLING-:-1B,APPLING-:-1C,66404.86590388975
APPLING-:-1B,APPLING-:-3A1,50194.56395121124
APPLING-:-1B,JEFF DAVIS-:-ALTAMAHA 2,34852.129288363256
APPLING-:-1B,TOOMBS-:-43 CEDAR CROSSING,69146.16442816467
APPLING-:-1B,TOOMBS-:-39 NEWBRANCH,11713.187955337318
APPLING-:-1C,APPLING-:-5B,28226.91343288962
APPLING-:-1C,APPLING-:-5A,29485.918722634044
APPLING-:-1C,APPLING-:-2,55110.07034018329
APPLING-:-1C,JEFF DAVIS-:-BLACKBURN 1,5545.409424161071
APPLING-:-1C,JEFF DAVIS-:-ALTAMAHA 2,38965.916272997965
APPLING-:-2,APPLING-:-3C,97399.87663068135
APPLING-:-2,APPLING-:-5A,4319.999720200961
APPLING-:-2,APPLING-:-3A1,38603.033032290004
APPLING-:-3A1,WAYNE-:-ODUM,19282.21019488768
APPLING-:-3A1,WAYNE-:-MADRAY SPRINGS,44988.35337138134
APPLING-:-3A1,APPLING-:-3C,32073.141962904192
APPLING-:-3A1,TATTNALL-:-DISTRICT V,96481.6175584301
APPLING-:-3A1,TOOMBS-:-39 NEWBRANCH,32621.894899377872
APPLING-:-3C,WAYNE-:-EMPIRE,17235.29089746759
APPLING-:-3C,APPLING-:-4B,73348.4037359935
APPLING-:-3C,WAYNE-:-ODUM,29161.36303732669
APPLING-:-3C,APPLING-:-4D,45700.69657720301
APPLING-:-3C,APPLING-:-5A,10341.611907708302
APPLING-:-4B,WAYNE-:-SCREVEN,67474.0018438143
APPLING-:-4B,PIERCE-:-PATTERSON,5834.889681003328
APPLING-:-4B,PIERCE-:-MERSHON,32891.02087471059
APPLING-:-4B,BACON-:-DOUGLAS,36667.81990711347
APPLING-:-4B,APPLING-:-4D,42025.284892709824
APPLING-:-4D,BACON-:-DOUGLAS,48361.788148574415
APPLING-:-4D,APPLING-:-5B,19575.786136000504
APPLING-:-4D,APPLING-:-5A,25974.931994261733
APPLING-:-5A,APPLING-:-5B,70041.38877717564
APPLING-:-5B,BACON-:-DOUGLAS,40780.042741166864
APPLING-:-5B,JEFF DAVIS-:-BLACKBURN 2,48166.34159013688
APPLING-:-5B,JEFF DAVIS-:-BLACKBURN 1,11926.416808435293
