plan_id,winner
0,Trump
1,Trump
2,Trump
3,Trump
4,Trump
5,Trump
6,Trump
7,Trump
8,Trump
9,Trump
10,Trump
11,Trump
12,Trump
13,Trump
14,Trump
15,Trump
16,Trump
17,Trump
18,Trump
19,Trump
20,Trump
21,Trump
22,Trump
23,Trump
24,Trump
25,Trump
26,Trump
27,Trump
28,Trump
29,Trump
30,Trump
31,Trump
32,Trump
33,Trump
34,Trump
35,Trump
36,Trump
37,Trump
38,Trump
39,Trump
40,Trump
41,Trump
42,Trump
43,Trump
44,Trump
45,Trump
46,Trump
47,Trump
48,Trump
49,Trump
50,Trump
51,Trump
52,Trump
53,Trump
54,Trump
55,Trump
56,Trump
57,Trump
58,Trump
59,Trump
60,Trump
61,Trump
62,Trump
63,Trump
64,Trump
65,Trump
66,Trump
67,Trump
68,Trump
69,Trump
70,Trump
71,Trump
72,Trump
73,Trump
74,Trump
75,Trump
76,Trump
77,Trump
78,Trump
79,Trump
80,Trump
81,Trump
82,Trump
83,Trump
84,Trump
85,Trump
86,Trump
87,Trump
88,Trump
89,Trump
90,Trump
91,Trump
92,Trump
93,Trump
94,Trump
95,Trump
96,Trump
97,Trump
98,Trump
99,Trump
100,Trump
101,Trump
102,Trump
103,Trump
104,Trump
105,Trump
106,Trump
107,Trump
108,Trump
109,Trump
110,Trump
111,Trump
112,Trump
113,Trump
114,Trump
115,Trump
116,Trump
117,Trump
118,Trump
119,Trump
120,Trump
121,Trump
122,Trump
123,Trump
124,Trump
125,Trump
126,Trump
127,Trump
128,Trump
129,Trump
130,Trump
131,Trump
132,Trump
133,Trump
134,Trump
135,Trump
136,Trump
137,Trump
138,Trump
139,Trump
140,Trump
141,Trump
142,Trump
143,Trump
144,Trump
145,Trump
146,Trump
147,Trump
148,Trump
149,Trump
150,Trump
151,Trump
152,Trump
153,Trump
154,Trump
155,Trump
156,Trump
157,Trump
158,Trump
159,Trump
160,Trump
161,Trump
162,Trump
163,Trump
164,Trump
165,Trump
166,Trump
167,Trump
168,Trump
169,Trump
170,Trump
171,Trump
172,Trump
173,Trump
174,Trump
175,Trump
176,Trump
177,Trump
178,Trump
179,Trump
180,Trump
181,Trump
182,Trump
183,Trump
184,Trump
185,Trump
186,Trump
187,Trump
188,Trump
189,Trump
190,Trump
191,Trump
192,Trump
193,Trump
194,Trump
195,Trump
196,Trump
197,Trump
198,Trump
199,Trump
200,Trump
201,Trump
202,Trump
203,Trump
204,Trump
205,Trump
206,Trump
207,Trump
208,Trump
209,Trump
210,Trump
211,Trump
212,Trump
213,Trump
214,Trump
215,Trump
216,Trump
217,Trump
218,Trump
219,Trump
220,Trump
221,Trump
222,Trump
223,Trump
224,Trump
225,Trump
226,Trump
227,Trump
228,Trump
229,Trump
230,Trump
231,Trump
232,Trump
233,Trump
234,Trump
235,Trump
236,Trump
237,Trump
238,Trump
239,Trump
240,Trump
241,Trump
242,Trump
243,Trump
244,Trump
245,Trump
246,Trump
247,Trump
248,Trump
249,Trump
