plan_id,democrat,republican,minority_effective,opportunity_districts,ensemble
0,5,9,5,4,VRA
1,6,8,5,4,VRA
2,6,8,5,4,VRA
3,6,8,5,4,VRA
4,6,8,5,4,VRA
5,6,8,5,4,VRA
6,6,8,5,4,VRA
7,6,8,5,4,VRA
8,6,8,5,4,VRA
9,5,9,5,4,VRA
10,5,9,5,4,VRA
11,5,9,5,4,VRA
12,5,9,5,4,VRA
13,5,9,5,4,VRA
14,5,9,5,4,VRA
15,5,9,5,3,VRA
16,5,9,5,3,VRA
17,5,9,5,3,VRA
18,5,9,5,3,VRA
19,5,9,5,3,VRA
20,5,9,5,2,VRA
21,5,9,5,2,VRA
22,5,9,5,2,VRA
23,5,9,5,2,VRA
24,5,9,5,2,VRA
25,5,9,5,2,VRA
26,5,9,5,2,VRA
27,5,9,5,2,VRA
28,5,9,5,2,VRA
29,5,9,5,2,VRA
30,5,9,5,2,VRA
31,5,9,5,3,VRA
32,5,9,5,3,VRA
33,5,9,5,3,VRA
34,5,9,5,3,VRA
35,5,9,5,3,VRA
36,5,9,5,3,VRA
37,5,9,5,3,VRA
38,5,9,5,3,VRA
39,5,9,5,3,VRA
40,5,9,5,2,VRA
41,5,9,5,2,VRA
42,5,9,5,3,VRA
43,5,9,5,3,VRA
44,5,9,5,3,VRA
45,5,9,5,3,VRA
46,5,9,5,3,VRA
47,5,9,5,3,VRA
48,5,9,5,3,VRA
49,5,9,5,3,VRA
50,5,9,5,3,VRA
51,5,9,5,3,VRA
52,5,9,5,3,VRA
53,5,9,5,3,VRA
54,5,9,5,3,VRA
55,6,8,6,3,VRA
56,6,8,6,3,VRA
57,6,8,6,3,VRA
58,5,9,5,3,VRA
59,5,9,5,2,VRA
60,5,9,5,2,VRA
61,5,9,5,3,VRA
62,5,9,5,3,VRA
63,5,9,5,2,VRA
64,5,9,5,2,VRA
65,5,9,5,3,VRA
66,5,9,5,3,VRA
67,5,9,5,3,VRA
68,5,9,5,3,VRA
69,5,9,5,3,VRA
70,5,9,5,3,VRA
71,5,9,5,3,VRA
72,5,9,5,3,VRA
73,5,9,5,3,VRA
74,5,9,5,3,VRA
75,5,9,5,3,VRA
76,5,9,5,3,VRA
77,5,9,5,3,VRA
78,5,9,5,3,VRA
79,5,9,5,2,VRA
80,5,9,5,2,VRA
81,5,9,5,2,VRA
82,5,9,5,2,VRA
83,5,9,5,2,VRA
84,5,9,5,2,VRA
85,5,9,5,2,VRA
86,6,8,5,2,VRA
87,6,8,5,2,VRA
88,6,8,5,2,VRA
89,6,8,5,2,VRA
90,6,8,5,2,VRA
91,6,8,5,2,VRA
92,6,8,5,2,VRA
93,6,8,5,2,VRA
94,6,8,5,2,VRA
95,6,8,5,2,VRA
96,6,8,5,1,VRA
97,6,8,5,1,VRA
98,6,8,5,1,VRA
99,6,8,5,1,VRA
100,6,8,5,2,VRA
101,6,8,5,2,VRA
102,6,8,5,3,VRA
103,6,8,5,3,VRA
104,6,8,5,3,VRA
105,6,8,5,4,VRA
106,6,8,5,4,VRA
107,6,8,5,4,VRA
108,6,8,5,4,VRA
109,6,8,5,4,VRA
110,6,8,5,4,VRA
