plan_id,black_scores,latino_scores
0,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 1, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.16526996786028592, 5: 0.12332256703533961, 6: 0.149175840772732, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.16729980064020716, 14: 0}"
1,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 0.6997814426537702, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.16526996786028592, 5: 0.11432743741026295, 6: 0.15832581328181636, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.16729980064020716, 14: 0}"
2,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 0.6997814426537702, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.16526996786028592, 5: 0.11432743741026295, 6: 0.15832581328181636, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.16729980064020716, 14: 0}"
3,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 0.6997814426537702, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.16526996786028592, 5: 0.11432743741026295, 6: 0.15832581328181636, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.16729980064020716, 14: 0}"
4,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 0.5517353979533854, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.07696323293313437, 5: 0.19855585193570158, 6: 0.15832581328181636, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.16729980064020716, 14: 0}"
5,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 0.5517353979533854, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.07696323293313437, 5: 0.19855585193570158, 6: 0.15832581328181636, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.16729980064020716, 14: 0}"
6,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 0.5517353979533854, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.07696323293313437, 5: 0.19855585193570158, 6: 0.15832581328181636, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.16729980064020716, 14: 0}"
7,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 0.5517353979533854, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.07696323293313437, 5: 0.19855585193570158, 6: 0.15832581328181636, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.16729980064020716, 14: 0}"
8,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 0.7497921374092904, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.09266637866762739, 5: 0.1876657847318835, 6: 0.15832581328181636, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.16729980064020716, 14: 0}"
9,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 0.7497921374092904, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0.8882919592255947, 11: 0, 12: 0, 13: 0.6804633164095746, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.09266637866762739, 5: 0.1876657847318835, 6: 0.15832581328181636, 7: 0, 8: 0, 9: 0, 10: 0.08956332950972945, 11: 0, 12: 0, 13: 0.16881595982755918, 14: 0}"
10,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0.7497921374092904, 6: 1, 7: 0, 8: 0.8430576153994106, 9: 0, 10: 0.8882919592255947, 11: 0, 12: 0, 13: 0.6804633164095746, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0.09266637866762739, 5: 0.1876657847318835, 6: 0.15832581328181636, 7: 0, 8: 0.08618762370207203, 9: 0, 10: 0.08956332950972945, 11: 0, 12: 0, 13: 0.16881595982755918, 14: 0}"
11,"{1: 0, 2: 0, 3: 0.8674623381411796, 4: 1, 5: 0.7497921374092904, 6: 1, 7: 0, 8: 0.8430576153994106, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.6804633164095746, 14: 0}","{1: 0, 2: 0, 3: 0.09040260630775053, 4: 0.09266637866762739, 5: 0.1876657847318835, 6: 0.15832581328181636, 7: 0, 8: 0.08618762370207203, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.16881595982755918, 14: 0}"
12,"{1: 0, 2: 0, 3: 0.8674623381411796, 4: 1, 5: 0.7497921374092904, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.6804633164095746, 14: 0}","{1: 0, 2: 0, 3: 0.09040260630775053, 4: 0.09266637866762739, 5: 0.1876657847318835, 6: 0.15832581328181636, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.16881595982755918, 14: 0}"
