plan_id,black_scores,latino_scores
0,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 1, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.16526996786028592, 5: 0.12332256703533961, 6: 0.149175840772732, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.16729980064020716, 14: 0}"
1,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 1, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.3118922748447633, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.16526996786028592, 5: 0.12332256703533961, 6: 0.149175840772732, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.14927035215923254, 12: 0, 13: 0.16729980064020716, 14: 0}"
2,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 1, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.3118922748447633, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.16526996786028592, 5: 0.12332256703533961, 6: 0.149175840772732, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.14927035215923254, 12: 0, 13: 0.16729980064020716, 14: 0}"
3,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 1, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.32880642103697877, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.16526996786028592, 5: 0.12332256703533961, 6: 0.149175840772732, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.14968352316232528, 12: 0, 13: 0.16729980064020716, 14: 0}"
4,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 1, 6: 0.3368203733033507, 7: 0, 8: 0, 9: 0, 10: 0, 11: 1, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.16526996786028592, 5: 0.12332256703533961, 6: 0.15206712091461957, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.14694571337021212, 12: 0, 13: 0.16729980064020716, 14: 0}"
5,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 1, 6: 0.3368203733033507, 7: 0, 8: 0, 9: 0, 10: 0, 11: 1, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.16526996786028592, 5: 0.12332256703533961, 6: 0.15206712091461957, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.14694571337021212, 12: 0, 13: 0.16729980064020716, 14: 0}"
6,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 1, 6: 0.3368203733033507, 7: 0, 8: 0, 9: 0, 10: 0, 11: 1, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.16526996786028592, 5: 0.12332256703533961, 6: 0.15206712091461957, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.14694571337021212, 12: 0, 13: 0.1606807754755291, 14: 0}"
7,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 1, 6: 0.3368203733033507, 7: 0, 8: 0, 9: 0, 10: 0, 11: 1, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.16526996786028592, 5: 0.12332256703533961, 6: 0.15206712091461957, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.14694571337021212, 12: 0, 13: 0.1606807754755291, 14: 0}"
8,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 1, 6: 0.3368203733033507, 7: 0, 8: 0, 9: 0, 10: 0, 11: 1, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.16526996786028592, 5: 0.12332256703533961, 6: 0.15206712091461957, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.14694571337021212, 12: 0, 13: 0.1606807754755291, 14: 0}"
9,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 1, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.16526996786028592, 5: 0.12332256703533961, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.14694571337021212, 12: 0, 13: 0.1606807754755291, 14: 0}"
10,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 1, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.16526996786028592, 5: 0.12332256703533961, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.14694571337021212, 12: 0, 13: 0.1606807754755291, 14: 0}"
11,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 1, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.16526996786028592, 5: 0.12332256703533961, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.14694571337021212, 12: 0, 13: 0.1606807754755291, 14: 0}"
12,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 1, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.16526996786028592, 5: 0.12332256703533961, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.14694571337021212, 12: 0, 13: 0.1606807754755291, 14: 0}"
13,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 1, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.16526996786028592, 5: 0.12332256703533961, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.14694571337021212, 12: 0, 13: 0.1686564317293721, 14: 0}"
14,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 1, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0.16526996786028592, 5: 0.12332256703533961, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.14694571337021212, 12: 0, 13: 0.1686564317293721, 14: 0}"
