plan_id,black_pct,latino_pct
0,"0     0.284162
1     0.490866
2     0.234071
3     0.554063
4     0.501144
5     0.532101
6     0.086695
7     0.303248
8     0.122075
9     0.250285
10    0.125472
11    0.366109
12    0.541554
13    0.124144
dtype: float64","0     0.055889
1     0.037065
2     0.043714
3     0.082635
4     0.061661
5     0.074588
6     0.071842
7     0.045434
8     0.096219
9     0.051119
10    0.073964
11    0.040434
12    0.083650
13    0.074853
dtype: float64"
1,"0     0.284162
1     0.490866
2     0.234071
3     0.554063
4     0.501144
5     0.532101
6     0.053578
7     0.303248
8     0.122075
9     0.250285
10    0.155946
11    0.366109
12    0.541554
13    0.124144
dtype: float64","0     0.055889
1     0.037065
2     0.043714
3     0.082635
4     0.061661
5     0.074588
6     0.071104
7     0.045434
8     0.096219
9     0.051119
10    0.074635
11    0.040434
12    0.083650
13    0.074853
dtype: float64"
2,"0     0.284162
1     0.490866
2     0.234071
3     0.554063
4     0.501144
5     0.532101
6     0.053578
7     0.296465
8     0.122075
9     0.250285
10    0.155946
11    0.371616
12    0.541554
13    0.124144
dtype: float64","0     0.055889
1     0.037065
2     0.043714
3     0.082635
4     0.061661
5     0.074588
6     0.071104
7     0.045772
8     0.096219
9     0.051119
10    0.074635
11    0.040189
12    0.083650
13    0.074853
dtype: float64"
3,"0     0.284162
1     0.490866
2     0.234071
3     0.554063
4     0.501144
5     0.532101
6     0.057644
7     0.296465
8     0.122075
9     0.250285
10    0.164403
11    0.371616
12    0.541554
13    0.124144
dtype: float64","0     0.055889
1     0.037065
2     0.043714
3     0.082635
4     0.061661
5     0.074588
6     0.071317
7     0.045772
8     0.096219
9     0.051119
10    0.074842
11    0.040189
12    0.083650
13    0.074853
dtype: float64"
4,"0     0.284162
1     0.490866
2     0.234071
3     0.554063
4     0.501144
5     0.168410
6     0.057644
7     0.296465
8     0.122075
9     0.250285
10    0.531472
11    0.371616
12    0.541554
13    0.124144
dtype: float64","0     0.055889
1     0.037065
2     0.043714
3     0.082635
4     0.061661
5     0.076034
6     0.071317
7     0.045772
8     0.096219
9     0.051119
10    0.073473
11    0.040189
12    0.083650
13    0.074853
dtype: float64"
5,"0     0.284162
1     0.490866
2     0.234071
3     0.554063
4     0.501144
5     0.168410
6     0.057644
7     0.296465
8     0.126278
9     0.250285
10    0.531472
11    0.371616
12    0.541554
13    0.119985
dtype: float64","0     0.055889
1     0.037065
2     0.043714
3     0.082635
4     0.061661
5     0.076034
6     0.071317
7     0.045772
8     0.075284
9     0.051119
10    0.073473
11    0.040189
12    0.083650
13    0.095416
dtype: float64"
6,"0     0.284162
1     0.490866
2     0.224005
3     0.554063
4     0.501144
5     0.168410
6     0.057644
7     0.296465
8     0.126278
9     0.250285
10    0.531472
11    0.371616
12    0.525273
13    0.119985
dtype: float64","0     0.055889
1     0.037065
2     0.043746
3     0.082635
4     0.061661
5     0.076034
6     0.071317
7     0.045772
8     0.075284
9     0.051119
10    0.073473
11    0.040189
12    0.080340
13    0.095416
dtype: float64"
7,"0     0.283374
1     0.490866
2     0.224005
3     0.554063
4     0.501144
5     0.168410
6     0.057644
7     0.296988
8     0.126278
9     0.250285
10    0.531472
11    0.371616
12    0.525273
13    0.119985
dtype: float64","0     0.048058
1     0.037065
2     0.043746
3     0.082635
4     0.061661
5     0.076034
6     0.071317
7     0.053757
8     0.075284
9     0.051119
10    0.073473
11    0.040189
12    0.080340
13    0.095416
dtype: float64"
8,"0     0.283374
1     0.490866
2     0.224005
3     0.554063
4     0.501144
5     0.168410
6     0.150637
7     0.296988
8     0.035550
9     0.250285
10    0.531472
11    0.371616
12    0.525273
13    0.119985
dtype: float64","0     0.048058
1     0.037065
2     0.043746
3     0.082635
4     0.061661
5     0.076034
6     0.067950
7     0.053757
8     0.078099
9     0.051119
10    0.073473
11    0.040189
12    0.080340
13    0.095416
dtype: float64"
9,"0     0.283374
1     0.490866
2     0.224005
3     0.554063
4     0.501144
5     0.036113
6     0.150637
7     0.296988
8     0.157094
9     0.250285
10    0.531472
11    0.371616
12    0.525273
13    0.119985
dtype: float64","0     0.048058
1     0.037065
2     0.043746
3     0.082635
4     0.061661
5     0.078634
6     0.067950
7     0.053757
8     0.075668
9     0.051119
10    0.073473
11    0.040189
12    0.080340
13    0.095416
dtype: float64"
10,"0     0.283374
1     0.490866
2     0.224005
3     0.554063
4     0.501144
5     0.036113
6     0.170786
7     0.296988
8     0.137554
9     0.250285
10    0.531472
11    0.371616
12    0.525273
13    0.119985
dtype: float64","0     0.048058
1     0.037065
2     0.043746
3     0.082635
4     0.061661
5     0.078634
6     0.069778
7     0.053757
8     0.073794
9     0.051119
10    0.073473
11    0.040189
12    0.080340
13    0.095416
dtype: float64"
11,"0     0.283374
1     0.490866
2     0.224005
3     0.554063
4     0.501144
5     0.036113
6     0.163323
7     0.296988
8     0.144381
9     0.250285
10    0.531472
11    0.371616
12    0.525273
13    0.119985
dtype: float64","0     0.048058
1     0.037065
2     0.043746
3     0.082635
4     0.061661
5     0.078634
6     0.070990
7     0.053757
8     0.072658
9     0.051119
10    0.073473
11    0.040189
12    0.080340
13    0.095416
dtype: float64"
12,"0     0.271936
1     0.490866
2     0.224005
3     0.554063
4     0.501144
5     0.036113
6     0.163323
7     0.310124
8     0.144381
9     0.250285
10    0.531472
11    0.371616
12    0.525273
13    0.119985
dtype: float64","0     0.048127
1     0.037065
2     0.043746
3     0.082635
4     0.061661
5     0.078634
6     0.070990
7     0.053961
8     0.072658
9     0.051119
10    0.073473
11    0.040189
12    0.080340
13    0.095416
dtype: float64"
13,"0     0.271936
1     0.490866
2     0.224005
3     0.554063
4     0.501144
5     0.036113
6     0.163323
7     0.310124
8     0.144381
9     0.250285
10    0.531472
11    0.371616
12    0.522381
13    0.108679
dtype: float64","0     0.048127
1     0.037065
2     0.043746
3     0.082635
4     0.061661
5     0.078634
6     0.070990
7     0.053961
8     0.072658
9     0.051119
10    0.073473
11    0.040189
12    0.084328
13    0.091497
dtype: float64"
14,"0     0.271936
1     0.490866
2     0.238049
3     0.554063
4     0.501144
5     0.036113
6     0.163323
7     0.310124
8     0.144381
9     0.238065
10    0.531472
11    0.371616
12    0.522381
13    0.108679
dtype: float64","0     0.048127
1     0.037065
2     0.049949
3     0.082635
4     0.061661
5     0.078634
6     0.070990
7     0.053961
8     0.072658
9     0.045257
10    0.073473
11    0.040189
12    0.084328
13    0.091497
dtype: float64"
