plan_id,winner
0,Trump
1,Trump
2,Trump
3,Trump
4,Trump
5,Trump
6,Trump
7,Trump
8,Trump
9,Trump
10,Trump
11,Trump
12,Trump
13,Trump
14,Trump
15,Trump
16,Trump
17,Trump
18,Trump
19,Trump
20,Trump
21,Trump
22,Trump
23,Trump
24,Trump
25,Trump
26,Trump
27,Trump
28,Trump
29,Trump
30,Trump
31,Trump
32,Trump
33,Trump
34,Trump
35,Trump
36,Trump
37,Trump
38,Trump
39,Trump
40,Trump
41,Trump
42,Trump
43,Trump
44,Trump
45,Trump
46,Trump
47,Trump
48,Trump
49,Trump
50,Trump
51,Trump
52,Trump
53,Trump
54,Trump
55,Trump
56,Trump
57,Trump
58,Trump
59,Trump
60,Trump
61,Trump
62,Trump
63,Trump
64,Trump
65,Trump
66,Trump
67,Trump
68,Trump
69,Trump
70,Trump
71,Trump
72,Trump
73,Trump
74,Trump
75,Trump
76,Trump
77,Trump
78,Trump
79,Trump
80,Trump
81,Trump
82,Trump
83,Trump
84,Trump
85,Trump
86,Trump
87,Trump
88,Trump
89,Trump
90,Trump
91,Trump
92,Trump
93,Trump
94,Trump
95,Trump
96,Trump
97,Trump
98,Trump
99,Trump
100,Trump
101,Trump
102,Trump
103,Trump
104,Trump
105,Trump
106,Trump
107,Trump
108,Trump
109,Trump
110,Trump
111,Trump
112,Trump
113,Trump
114,Trump
115,Trump
116,Trump
117,Trump
118,Trump
119,Trump
120,Trump
121,Trump
122,Trump
123,Trump
124,Trump
125,Trump
126,Trump
127,Trump
128,Trump
129,Trump
130,Trump
131,Trump
132,Trump
133,Trump
134,Trump
135,Trump
136,Trump
137,Trump
138,Trump
139,Trump
140,Trump
141,Trump
142,Trump
143,Trump
144,Trump
145,Trump
146,Trump
147,Trump
148,Trump
149,Trump
150,Trump
151,Trump
152,Trump
153,Trump
154,Trump
155,Trump
156,Trump
157,Trump
158,Trump
159,Trump
160,Trump
161,Trump
162,Trump
163,Trump
164,Trump
165,Trump
166,Trump
167,Trump
168,Trump
169,Trump
170,Trump
171,Trump
172,Trump
173,Trump
174,Trump
175,Trump
176,Trump
177,Trump
178,Trump
179,Trump
180,Trump
181,Trump
182,Trump
183,Trump
184,Trump
185,Trump
186,Trump
187,Trump
188,Trump
189,Trump
190,Trump
191,Trump
192,Trump
193,Trump
194,Trump
195,Trump
196,Trump
197,Trump
198,Trump
199,Trump
200,Trump
201,Trump
202,Trump
203,Trump
204,Trump
205,Trump
206,Trump
207,Trump
208,Trump
209,Trump
210,Trump
211,Trump
212,Trump
213,Trump
214,Trump
215,Trump
216,Trump
217,Trump
218,Trump
219,Trump
220,Trump
221,Trump
222,Trump
223,Trump
224,Trump
225,Trump
226,Trump
227,Trump
228,Trump
229,Trump
230,Trump
231,Trump
232,Trump
233,Trump
234,Trump
235,Trump
236,Trump
237,Trump
238,Trump
239,Trump
240,Trump
241,Trump
242,Trump
243,Trump
244,Trump
245,Trump
246,Trump
247,Trump
248,Trump
249,Trump
250,Trump
251,Trump
252,Trump
253,Trump
254,Trump
255,Trump
256,Trump
257,Trump
258,Trump
259,Trump
260,Trump
261,Trump
262,Trump
263,Trump
264,Trump
265,Trump
266,Trump
267,Trump
268,Trump
269,Trump
270,Trump
271,Trump
272,Trump
273,Trump
274,Trump
275,Trump
276,Trump
277,Trump
278,Trump
279,Trump
280,Trump
281,Trump
282,Trump
283,Trump
284,Trump
285,Trump
286,Trump
287,Trump
288,Trump
289,Trump
290,Trump
291,Trump
292,Trump
293,Trump
294,Trump
295,Trump
296,Trump
297,Trump
298,Trump
299,Trump
300,Trump
301,Trump
302,Trump
303,Trump
304,Trump
305,Trump
306,Trump
307,Trump
308,Trump
309,Trump
310,Trump
311,Trump
312,Trump
313,Trump
314,Trump
315,Trump
316,Trump
317,Trump
318,Trump
319,Trump
320,Trump
321,Trump
322,Trump
323,Trump
324,Trump
325,Trump
326,Trump
327,Trump
328,Trump
329,Trump
330,Trump
331,Trump
332,Trump
333,Trump
334,Trump
335,Trump
336,Trump
337,Trump
338,Trump
339,Trump
340,Trump
341,Trump
342,Harris
343,Harris
344,Harris
345,Harris
346,Harris
347,Harris
348,Harris
349,Harris
350,Harris
351,Harris
352,Harris
353,Harris
354,Harris
355,Harris
356,Harris
357,Harris
358,Harris
359,Harris
360,Harris
361,Harris
362,Harris
363,Harris
364,Harris
365,Harris
366,Harris
367,Harris
368,Harris
369,Harris
370,Harris
371,Harris
372,Trump
373,Trump
374,Trump
375,Trump
376,Trump
377,Trump
378,Trump
379,Trump
380,Trump
381,Trump
382,Trump
383,Trump
384,Trump
385,Trump
386,Trump
387,Trump
388,Trump
389,Trump
390,Trump
391,Trump
392,Trump
393,Trump
394,Trump
395,Trump
396,Trump
397,Trump
398,Trump
399,Trump
400,Trump
401,Trump
402,Trump
403,Trump
404,Trump
405,Trump
406,Trump
407,Trump
408,Trump
409,Trump
410,Trump
411,Trump
412,Trump
413,Trump
414,Trump
415,Trump
416,Trump
417,Trump
418,Trump
419,Trump
420,Trump
421,Trump
422,Trump
423,Trump
424,Trump
425,Trump
426,Trump
427,Trump
428,Trump
429,Trump
430,Trump
431,Trump
432,Trump
433,Trump
434,Trump
435,Trump
436,Trump
437,Trump
438,Trump
439,Trump
440,Trump
441,Trump
442,Trump
443,Trump
444,Trump
445,Trump
446,Trump
447,Trump
448,Trump
449,Trump
450,Trump
451,Trump
452,Trump
453,Trump
454,Trump
455,Trump
456,Trump
457,Trump
458,Trump
459,Trump
460,Trump
461,Trump
462,Trump
463,Trump
464,Trump
465,Trump
466,Trump
467,Trump
468,Trump
469,Trump
470,Trump
471,Trump
472,Trump
473,Trump
474,Trump
475,Trump
476,Harris
477,Harris
478,Harris
479,Harris
480,Harris
481,Harris
482,Harris
483,Harris
484,Harris
485,Harris
486,Harris
487,Harris
488,Harris
489,Harris
490,Harris
491,Harris
492,Harris
493,Trump
494,Trump
495,Trump
496,Trump
497,Trump
498,Trump
499,Trump
500,Trump
501,Trump
502,Trump
503,Trump
504,Trump
505,Trump
506,Trump
507,Trump
508,Trump
509,Trump
510,Trump
511,Trump
512,Trump
513,Trump
514,Trump
515,Trump
516,Trump
517,Trump
518,Trump
519,Trump
520,Trump
521,Trump
522,Trump
523,Trump
524,Trump
525,Trump
526,Trump
527,Trump
528,Trump
529,Trump
530,Trump
531,Trump
532,Trump
533,Trump
534,Trump
535,Trump
536,Trump
537,Trump
538,Trump
539,Trump
540,Trump
541,Trump
542,Trump
543,Trump
544,Trump
545,Trump
546,Trump
547,Trump
548,Trump
549,Trump
550,Trump
551,Trump
552,Trump
553,Trump
554,Trump
555,Trump
556,Trump
557,Trump
558,Trump
559,Trump
560,Trump
561,Trump
562,Trump
563,Trump
564,Trump
565,Trump
566,Trump
567,Trump
568,Trump
569,Trump
570,Trump
571,Trump
572,Trump
573,Trump
574,Trump
575,Trump
576,Trump
577,Trump
578,Trump
579,Trump
580,Trump
581,Trump
582,Trump
583,Trump
584,Trump
585,Trump
586,Trump
587,Trump
588,Trump
589,Trump
590,Trump
591,Trump
592,Trump
593,Trump
594,Trump
595,Trump
596,Trump
597,Trump
598,Trump
599,Trump
600,Trump
601,Trump
602,Trump
603,Trump
604,Trump
605,Trump
606,Trump
607,Trump
608,Trump
609,Trump
610,Trump
611,Trump
612,Trump
613,Trump
614,Trump
615,Trump
616,Trump
617,Trump
618,Trump
619,Trump
620,Trump
621,Trump
622,Trump
623,Trump
624,Trump
625,Trump
626,Trump
627,Trump
628,Trump
629,Trump
630,Trump
631,Trump
632,Trump
633,Trump
634,Trump
635,Trump
636,Trump
637,Trump
638,Trump
639,Trump
640,Trump
641,Trump
642,Trump
643,Trump
644,Trump
645,Trump
646,Trump
647,Trump
648,Trump
649,Trump
650,Trump
651,Trump
652,Trump
653,Trump
654,Trump
655,Trump
656,Trump
657,Trump
658,Trump
659,Trump
660,Trump
661,Trump
662,Trump
663,Trump
664,Trump
665,Trump
666,Trump
667,Trump
668,Trump
669,Trump
670,Trump
671,Trump
672,Trump
673,Trump
674,Trump
675,Trump
676,Trump
677,Trump
678,Trump
679,Trump
680,Trump
681,Trump
682,Trump
683,Trump
684,Trump
685,Trump
686,Trump
687,Trump
688,Trump
689,Trump
690,Trump
691,Trump
692,Trump
693,Trump
694,Trump
695,Trump
696,Trump
697,Trump
698,Trump
699,Trump
700,Trump
701,Trump
702,Trump
703,Trump
704,Trump
705,Trump
706,Trump
707,Trump
708,Trump
709,Trump
710,Trump
711,Trump
712,Trump
713,Trump
714,Trump
715,Trump
716,Trump
717,Trump
718,Trump
719,Trump
720,Trump
721,Trump
722,Trump
723,Trump
724,Trump
725,Trump
726,Trump
727,Trump
728,Trump
729,Trump
730,Trump
731,Trump
732,Trump
733,Trump
734,Trump
735,Trump
736,Trump
737,Trump
738,Trump
739,Trump
740,Trump
741,Trump
742,Trump
743,Trump
744,Trump
745,Trump
746,Trump
747,Trump
748,Trump
749,Trump
750,Trump
751,Trump
752,Trump
753,Trump
754,Trump
755,Trump
756,Trump
757,Trump
758,Trump
759,Trump
760,Trump
761,Trump
762,Trump
763,Trump
764,Trump
765,Trump
766,Trump
767,Trump
768,Trump
769,Trump
770,Trump
771,Trump
772,Trump
773,Trump
774,Trump
775,Trump
776,Trump
777,Trump
778,Trump
779,Trump
780,Trump
781,Trump
782,Trump
783,Trump
784,Trump
785,Trump
786,Trump
787,Trump
788,Trump
789,Trump
790,Trump
791,Trump
792,Trump
793,Trump
794,Trump
795,Trump
796,Trump
797,Trump
798,Trump
799,Trump
800,Trump
801,Trump
802,Trump
803,Trump
804,Trump
805,Trump
806,Trump
807,Trump
808,Trump
809,Trump
810,Trump
811,Trump
812,Trump
813,Trump
814,Trump
815,Trump
816,Trump
817,Trump
818,Trump
819,Trump
820,Trump
821,Trump
822,Trump
823,Trump
824,Trump
825,Trump
826,Trump
827,Trump
828,Trump
829,Trump
830,Trump
831,Trump
832,Trump
833,Trump
834,Trump
835,Trump
836,Trump
837,Trump
838,Trump
839,Trump
840,Trump
841,Trump
842,Trump
843,Trump
844,Trump
845,Trump
846,Trump
847,Trump
848,Trump
849,Trump
850,Harris
851,Harris
852,Harris
853,Harris
854,Harris
855,Harris
856,Harris
857,Trump
858,Trump
859,Trump
860,Trump
861,Trump
862,Trump
863,Trump
864,Harris
865,Harris
866,Harris
867,Harris
868,Harris
869,Harris
870,Harris
871,Harris
872,Harris
873,Harris
874,Harris
875,Harris
876,Harris
877,Harris
878,Harris
879,Harris
880,Harris
881,Harris
882,Harris
883,Harris
884,Harris
885,Harris
886,Harris
887,Harris
888,Harris
889,Harris
890,Harris
891,Harris
892,Harris
893,Harris
894,Harris
895,Harris
896,Harris
897,Harris
898,Harris
899,Harris
900,Harris
901,Harris
902,Trump
903,Trump
904,Trump
905,Trump
906,Trump
907,Trump
908,Trump
909,Trump
910,Trump
911,Trump
912,Trump
913,Trump
914,Trump
915,Trump
916,Trump
917,Trump
918,Harris
919,Harris
920,Harris
921,Harris
922,Harris
923,Harris
924,Harris
925,Harris
926,Harris
927,Harris
928,Harris
929,Harris
930,Harris
931,Harris
932,Harris
933,Harris
934,Harris
935,Harris
936,Harris
937,Harris
938,Harris
939,Harris
940,Harris
941,Harris
942,Harris
943,Harris
944,Harris
945,Harris
