plan_id,democrat_wins,republican_wins,minority_effective,opportunity_districts,ensemble
0,0,4,0,0,vra
1,0,4,0,0,vra
2,0,4,0,0,vra
3,0,4,0,0,vra
4,0,4,0,0,vra
5,0,4,0,0,vra
6,0,4,0,0,vra
7,0,4,0,0,vra
8,0,4,0,0,vra
9,0,4,0,0,vra
10,0,4,0,0,vra
11,0,4,0,0,vra
12,0,4,0,0,vra
13,0,4,0,0,vra
14,0,4,0,0,vra
15,0,4,0,0,vra
16,0,4,0,0,vra
17,0,4,0,0,vra
18,0,4,0,0,vra
19,0,4,0,0,vra
20,0,4,0,0,vra
21,0,4,0,0,vra
22,0,4,0,0,vra
23,0,4,0,0,vra
24,0,4,0,0,vra
25,0,4,0,0,vra
26,0,4,0,0,vra
27,0,4,0,0,vra
28,0,4,0,0,vra
29,0,4,0,0,vra
30,0,4,0,0,vra
31,0,4,0,0,vra
32,0,4,0,0,vra
33,0,4,0,0,vra
34,0,4,0,0,vra
35,0,4,0,0,vra
36,0,4,0,0,vra
37,0,4,0,0,vra
38,0,4,0,0,vra
39,0,4,0,0,vra
40,0,4,0,0,vra
41,0,4,0,0,vra
42,0,4,0,0,vra
43,0,4,0,0,vra
44,0,4,0,0,vra
45,0,4,0,0,vra
46,0,4,0,0,vra
47,0,4,0,0,vra
48,0,4,0,0,vra
49,0,4,0,0,vra
50,0,4,0,0,vra
51,0,4,0,0,vra
52,0,4,0,0,vra
53,0,4,0,0,vra
54,0,4,0,0,vra
55,0,4,0,0,vra
56,0,4,0,0,vra
57,0,4,0,0,vra
58,0,4,0,0,vra
59,0,4,0,0,vra
60,0,4,0,0,vra
61,0,4,0,0,vra
62,0,4,0,0,vra
63,0,4,0,0,vra
64,0,4,0,0,vra
65,0,4,0,0,vra
66,0,4,0,0,vra
67,0,4,0,0,vra
68,0,4,0,0,vra
69,0,4,0,0,vra
70,0,4,0,0,vra
71,0,4,0,0,vra
72,0,4,0,0,vra
73,0,4,0,0,vra
74,0,4,0,0,vra
75,0,4,0,0,vra
76,0,4,0,0,vra
77,0,4,0,0,vra
78,0,4,0,0,vra
79,0,4,0,0,vra
80,0,4,0,0,vra
81,0,4,0,0,vra
82,0,4,0,0,vra
83,0,4,0,0,vra
