plan_id,democrat_wins,republican_wins,minority_effective,opportunity_districts,ensemble
0,5,9,5,4,raceblind
1,5,9,5,4,raceblind
2,5,9,5,4,raceblind
3,5,9,5,4,raceblind
4,5,9,5,4,raceblind
5,5,9,5,4,raceblind
6,5,9,5,4,raceblind
7,5,9,5,4,raceblind
8,5,9,5,4,raceblind
9,5,9,5,4,raceblind
10,5,9,5,3,raceblind
11,5,9,5,3,raceblind
12,5,9,5,3,raceblind
13,5,9,5,3,raceblind
14,5,9,5,3,raceblind
15,5,9,5,3,raceblind
16,5,9,5,3,raceblind
17,5,9,5,3,raceblind
18,6,8,4,3,raceblind
19,6,8,4,3,raceblind
20,6,8,4,3,raceblind
21,6,8,4,3,raceblind
22,6,8,4,3,raceblind
23,6,8,5,3,raceblind
24,5,9,5,3,raceblind
25,5,9,5,4,raceblind
26,5,9,5,4,raceblind
27,6,8,6,3,raceblind
28,6,8,6,2,raceblind
29,6,8,6,2,raceblind
30,6,8,6,2,raceblind
31,6,8,6,2,raceblind
32,6,8,6,2,raceblind
33,6,8,6,2,raceblind
34,6,8,6,2,raceblind
35,6,8,6,2,raceblind
36,6,8,6,2,raceblind
37,6,8,6,2,raceblind
38,6,8,6,2,raceblind
39,6,8,6,2,raceblind
40,6,8,6,2,raceblind
41,6,8,6,2,raceblind
42,6,8,6,2,raceblind
43,6,8,6,2,raceblind
44,6,8,6,2,raceblind
45,6,8,6,1,raceblind
46,6,8,6,1,raceblind
47,6,8,6,1,raceblind
48,6,8,5,2,raceblind
49,6,8,5,2,raceblind
50,5,9,5,4,raceblind
51,5,9,5,3,raceblind
52,5,9,5,3,raceblind
53,5,9,5,3,raceblind
54,5,9,4,2,raceblind
55,5,9,4,2,raceblind
56,5,9,4,2,raceblind
57,5,9,4,2,raceblind
58,5,9,4,2,raceblind
59,5,9,5,2,raceblind
60,5,9,5,2,raceblind
61,5,9,5,2,raceblind
62,5,9,5,2,raceblind
63,5,9,5,2,raceblind
64,5,9,5,2,raceblind
65,5,9,5,2,raceblind
66,5,9,5,2,raceblind
67,5,9,5,2,raceblind
68,5,9,5,2,raceblind
69,5,9,5,2,raceblind
70,5,9,5,2,raceblind
71,5,9,5,2,raceblind
72,5,9,5,2,raceblind
73,5,9,5,2,raceblind
74,5,9,5,2,raceblind
75,5,9,5,4,raceblind
76,5,9,5,4,raceblind
77,5,9,5,3,raceblind
78,5,9,5,3,raceblind
79,5,9,5,3,raceblind
80,5,9,5,3,raceblind
81,5,9,5,3,raceblind
82,5,9,5,3,raceblind
83,5,9,5,3,raceblind
84,4,10,4,3,raceblind
85,4,10,4,3,raceblind
86,4,10,4,3,raceblind
87,4,10,4,2,raceblind
88,4,10,4,2,raceblind
89,5,9,4,2,raceblind
90,5,9,4,2,raceblind
91,5,9,4,2,raceblind
92,5,9,4,2,raceblind
93,5,9,4,2,raceblind
94,6,8,5,1,raceblind
95,6,8,5,1,raceblind
96,6,8,5,1,raceblind
97,6,8,5,2,raceblind
98,6,8,5,2,raceblind
99,6,8,5,2,raceblind
100,5,9,5,4,raceblind
101,5,9,5,4,raceblind
102,5,9,5,4,raceblind
103,5,9,5,4,raceblind
104,5,9,5,4,raceblind
105,5,9,5,4,raceblind
106,5,9,5,4,raceblind
107,5,9,5,3,raceblind
108,5,9,5,3,raceblind
109,5,9,5,3,raceblind
110,5,9,5,3,raceblind
111,5,9,5,3,raceblind
112,5,9,5,3,raceblind
