plan_id,democrat_wins,republican_wins,minority_effective,opportunity_districts,ensemble
0,5,9,5,4,vra
1,5,9,5,4,vra
2,5,9,5,3,vra
3,5,9,5,3,vra
4,5,9,5,2,vra
5,5,9,5,2,vra
6,5,9,5,2,vra
7,5,9,5,2,vra
8,5,9,5,2,vra
9,5,9,5,2,vra
10,5,9,5,2,vra
11,5,9,5,2,vra
12,5,9,5,2,vra
13,5,9,5,2,vra
14,5,9,5,2,vra
15,5,9,5,2,vra
16,5,9,5,2,vra
17,5,9,5,2,vra
18,5,9,5,2,vra
19,5,9,5,3,vra
20,5,9,5,3,vra
21,5,9,5,3,vra
22,5,9,5,2,vra
23,5,9,5,2,vra
24,5,9,5,2,vra
25,5,9,5,2,vra
26,5,9,5,2,vra
27,5,9,5,2,vra
28,5,9,5,2,vra
29,5,9,5,2,vra
30,5,9,5,2,vra
31,5,9,5,2,vra
32,5,9,5,2,vra
33,5,9,5,2,vra
34,5,9,5,2,vra
35,5,9,5,2,vra
36,5,9,5,3,vra
37,5,9,5,3,vra
38,5,9,5,2,vra
39,5,9,5,2,vra
40,5,9,5,2,vra
41,5,9,5,2,vra
42,5,9,5,2,vra
43,5,9,5,2,vra
44,5,9,5,2,vra
45,5,9,5,2,vra
46,5,9,5,2,vra
47,5,9,5,2,vra
48,5,9,5,1,vra
49,5,9,5,2,vra
50,5,9,5,3,vra
51,5,9,5,3,vra
52,5,9,5,3,vra
53,5,9,5,3,vra
54,5,9,5,3,vra
55,5,9,5,2,vra
56,5,9,5,2,vra
57,5,9,5,2,vra
58,5,9,5,2,vra
59,5,9,5,2,vra
60,5,9,5,2,vra
61,5,9,5,2,vra
62,5,9,5,2,vra
63,5,9,5,2,vra
64,5,9,5,2,vra
65,5,9,5,2,vra
66,5,9,5,2,vra
67,5,9,5,2,vra
68,5,9,5,2,vra
69,5,9,5,2,vra
70,5,9,5,2,vra
71,5,9,5,2,vra
72,6,8,6,1,vra
73,6,8,6,1,vra
74,6,8,6,1,vra
75,6,8,6,1,vra
76,6,8,6,1,vra
77,6,8,6,1,vra
78,6,8,6,2,vra
79,6,8,6,2,vra
80,6,8,6,2,vra
81,6,8,6,2,vra
82,6,8,6,2,vra
83,7,7,6,2,vra
84,7,7,6,2,vra
85,6,8,5,2,vra
86,6,8,5,2,vra
87,6,8,5,2,vra
88,6,8,5,2,vra
89,6,8,5,2,vra
90,6,8,5,2,vra
91,7,7,6,1,vra
92,7,7,6,1,vra
93,7,7,6,1,vra
94,7,7,6,1,vra
95,7,7,6,1,vra
96,7,7,6,1,vra
97,7,7,6,1,vra
98,6,8,5,1,vra
99,6,8,5,1,vra
100,6,8,5,1,vra
101,6,8,5,2,vra
102,6,8,5,2,vra
103,6,8,5,2,vra
104,6,8,5,2,vra
105,6,8,5,2,vra
106,6,8,5,2,vra
107,6,8,5,2,vra
108,6,8,5,2,vra
109,6,8,5,2,vra
110,6,8,5,2,vra
111,6,8,5,2,vra
112,6,8,5,2,vra
113,6,8,5,2,vra
114,6,8,5,2,vra
115,6,8,5,2,vra
116,6,8,5,2,vra
117,6,8,5,2,vra
118,6,8,5,2,vra
119,6,8,5,2,vra
120,6,8,5,2,vra
121,6,8,5,2,vra
122,6,8,5,2,vra
123,6,8,5,2,vra
124,6,8,5,2,vra
125,5,9,5,4,vra
126,5,9,5,4,vra
127,5,9,5,4,vra
128,5,9,5,4,vra
129,5,9,5,4,vra
130,5,9,5,3,vra
131,5,9,5,3,vra
132,5,9,5,3,vra
133,5,9,5,3,vra
134,5,9,5,3,vra
135,5,9,5,3,vra
136,5,9,5,3,vra
137,5,9,5,3,vra
138,5,9,5,3,vra
139,5,9,5,3,vra
140,5,9,5,3,vra
141,5,9,5,3,vra
142,5,9,5,2,vra
143,6,8,5,2,vra
144,6,8,5,2,vra
145,6,8,5,2,vra
146,6,8,5,2,vra
147,6,8,5,2,vra
148,6,8,5,2,vra
149,6,8,5,2,vra
150,6,8,5,2,vra
151,6,8,5,2,vra
152,6,8,5,2,vra
153,6,8,5,2,vra
154,6,8,5,2,vra
155,6,8,5,2,vra
156,6,8,5,2,vra
157,6,8,5,2,vra
158,6,8,5,2,vra
159,6,8,5,2,vra
160,6,8,5,2,vra
161,6,8,5,2,vra
162,6,8,5,2,vra
163,6,8,5,2,vra
164,6,8,5,2,vra
165,6,8,5,2,vra
166,7,7,5,2,vra
167,7,7,5,2,vra
168,7,7,5,2,vra
169,7,7,5,2,vra
170,7,7,5,2,vra
171,7,7,5,2,vra
172,7,7,5,2,vra
173,7,7,5,2,vra
174,7,7,5,2,vra
175,7,7,5,2,vra
176,7,7,5,2,vra
177,6,8,5,2,vra
178,5,9,5,2,vra
179,5,9,5,2,vra
180,5,9,5,2,vra
181,5,9,5,2,vra
182,5,9,5,2,vra
183,5,9,5,2,vra
184,5,9,5,2,vra
185,5,9,5,2,vra
186,5,9,5,2,vra
187,5,9,5,2,vra
188,5,9,5,2,vra
189,5,9,5,2,vra
190,6,8,6,2,vra
191,6,8,6,2,vra
192,6,8,6,2,vra
193,6,8,6,2,vra
194,6,8,6,2,vra
195,6,8,6,2,vra
196,6,8,6,2,vra
197,6,8,6,2,vra
198,6,8,6,2,vra
199,6,8,6,2,vra
200,6,8,6,2,vra
201,6,8,6,2,vra
202,6,8,6,2,vra
203,6,8,6,2,vra
204,6,8,6,3,vra
205,6,8,6,3,vra
206,6,8,6,3,vra
207,6,8,6,3,vra
208,6,8,6,3,vra
209,6,8,6,3,vra
210,6,8,6,3,vra
211,6,8,6,3,vra
212,6,8,5,3,vra
213,6,8,6,2,vra
214,6,8,6,2,vra
215,6,8,6,2,vra
216,5,9,5,2,vra
217,5,9,5,2,vra
218,5,9,5,2,vra
219,5,9,5,2,vra
220,5,9,5,2,vra
221,5,9,5,2,vra
222,5,9,5,2,vra
223,5,9,5,2,vra
224,5,9,5,2,vra
225,5,9,5,2,vra
226,5,9,5,2,vra
227,5,9,5,2,vra
228,5,9,5,2,vra
229,5,9,5,2,vra
230,5,9,5,2,vra
231,5,9,5,2,vra
232,5,9,5,2,vra
233,5,9,5,2,vra
234,5,9,5,2,vra
235,5,9,5,2,vra
236,5,9,5,2,vra
237,5,9,5,2,vra
238,6,8,5,2,vra
239,6,8,5,2,vra
240,6,8,5,2,vra
241,6,8,5,2,vra
242,6,8,5,2,vra
243,6,8,5,1,vra
244,6,8,5,1,vra
245,6,8,5,1,vra
246,6,8,5,1,vra
247,6,8,5,1,vra
248,6,8,5,1,vra
249,6,8,5,1,vra
250,5,9,5,4,vra
251,5,9,5,4,vra
252,5,9,5,4,vra
253,5,9,5,4,vra
254,5,9,5,4,vra
255,5,9,5,4,vra
256,5,9,5,3,vra
257,5,9,5,3,vra
258,5,9,5,3,vra
259,5,9,5,3,vra
260,5,9,5,3,vra
261,5,9,5,3,vra
262,5,9,5,3,vra
263,5,9,5,3,vra
264,5,9,5,3,vra
265,6,8,5,3,vra
266,6,8,5,2,vra
267,6,8,5,2,vra
268,6,8,5,2,vra
269,6,8,5,2,vra
270,6,8,5,2,vra
271,6,8,5,2,vra
272,6,8,5,2,vra
273,6,8,5,2,vra
274,6,8,5,2,vra
275,6,8,5,2,vra
276,6,8,5,2,vra
277,6,8,5,2,vra
278,6,8,5,2,vra
279,6,8,5,2,vra
280,6,8,5,2,vra
281,6,8,5,2,vra
282,6,8,5,2,vra
283,6,8,5,2,vra
284,6,8,5,2,vra
285,6,8,5,2,vra
286,6,8,5,2,vra
287,6,8,5,2,vra
288,6,8,5,2,vra
289,6,8,5,2,vra
290,6,8,5,2,vra
291,6,8,5,2,vra
292,6,8,5,2,vra
293,6,8,5,2,vra
294,6,8,5,2,vra
295,6,8,5,2,vra
296,6,8,5,2,vra
297,6,8,5,2,vra
298,6,8,5,2,vra
299,6,8,5,2,vra
300,6,8,5,2,vra
301,6,8,5,2,vra
302,6,8,5,2,vra
303,6,8,5,2,vra
304,6,8,5,2,vra
305,6,8,5,2,vra
306,6,8,5,2,vra
307,6,8,5,2,vra
308,6,8,5,2,vra
309,6,8,5,2,vra
310,6,8,5,2,vra
311,6,8,5,2,vra
312,6,8,5,2,vra
313,6,8,5,2,vra
314,6,8,5,2,vra
315,6,8,5,2,vra
316,6,8,5,2,vra
317,6,8,5,2,vra
318,6,8,5,2,vra
319,6,8,5,2,vra
320,6,8,5,2,vra
321,6,8,5,2,vra
322,6,8,5,2,vra
323,6,8,5,2,vra
324,6,8,5,2,vra
325,6,8,5,2,vra
326,6,8,5,2,vra
327,6,8,5,2,vra
328,6,8,5,2,vra
329,6,8,5,2,vra
330,6,8,5,2,vra
331,5,9,5,2,vra
332,6,8,5,2,vra
333,6,8,5,2,vra
334,6,8,5,2,vra
335,6,8,5,2,vra
336,5,9,5,2,vra
337,5,9,5,2,vra
338,5,9,5,2,vra
339,5,9,5,2,vra
340,5,9,5,2,vra
341,5,9,5,2,vra
342,5,9,5,2,vra
343,6,8,5,2,vra
344,6,8,5,2,vra
345,6,8,5,2,vra
346,6,8,5,2,vra
347,6,8,5,2,vra
348,6,8,5,2,vra
349,6,8,5,2,vra
350,6,8,5,1,vra
351,6,8,5,2,vra
352,6,8,5,1,vra
353,6,8,5,2,vra
354,6,8,5,2,vra
355,6,8,5,2,vra
356,6,8,5,2,vra
357,6,8,5,2,vra
358,6,8,5,2,vra
359,6,8,5,2,vra
360,6,8,5,2,vra
361,6,8,5,2,vra
362,6,8,5,2,vra
363,5,9,5,2,vra
364,5,9,5,2,vra
365,5,9,5,2,vra
366,5,9,5,2,vra
367,5,9,5,2,vra
368,5,9,5,2,vra
369,6,8,5,2,vra
370,6,8,5,2,vra
371,6,8,5,2,vra
372,6,8,5,2,vra
373,6,8,5,2,vra
374,5,9,5,2,vra
375,5,9,5,4,vra
376,5,9,5,3,vra
377,5,9,5,3,vra
378,5,9,5,3,vra
379,5,9,5,4,vra
380,5,9,5,4,vra
381,5,9,5,3,vra
382,5,9,5,3,vra
383,5,9,5,3,vra
384,5,9,5,3,vra
385,5,9,5,2,vra
386,5,9,5,2,vra
387,5,9,5,2,vra
388,5,9,5,2,vra
389,5,9,5,2,vra
390,5,9,5,2,vra
391,5,9,5,2,vra
392,5,9,5,2,vra
393,5,9,5,2,vra
394,5,9,5,2,vra
395,5,9,5,2,vra
396,5,9,5,2,vra
397,5,9,5,2,vra
398,5,9,5,2,vra
399,5,9,5,2,vra
400,5,9,5,2,vra
401,5,9,5,2,vra
402,5,9,5,2,vra
403,5,9,5,3,vra
404,5,9,5,3,vra
405,5,9,5,3,vra
406,5,9,5,3,vra
407,5,9,5,3,vra
408,5,9,5,3,vra
409,5,9,5,3,vra
410,5,9,5,3,vra
