plan_id,democrat_wins,republican_wins,minority_effective,opportunity_districts,ensemble
0,0,4,0,0,raceblind
1,0,4,0,0,raceblind
2,0,4,0,0,raceblind
3,0,4,0,0,raceblind
4,0,4,0,0,raceblind
5,0,4,0,0,raceblind
6,0,4,0,0,raceblind
7,0,4,0,0,raceblind
8,0,4,0,0,raceblind
9,0,4,0,0,raceblind
10,0,4,0,0,raceblind
11,0,4,0,0,raceblind
12,0,4,0,0,raceblind
13,0,4,0,0,raceblind
14,0,4,0,0,raceblind
15,0,4,0,0,raceblind
16,0,4,0,0,raceblind
17,0,4,0,0,raceblind
18,0,4,0,0,raceblind
19,0,4,0,0,raceblind
20,0,4,0,0,raceblind
21,0,4,0,0,raceblind
22,0,4,0,0,raceblind
23,0,4,0,0,raceblind
24,0,4,0,0,raceblind
25,0,4,0,0,raceblind
26,0,4,0,0,raceblind
27,0,4,0,0,raceblind
28,0,4,0,0,raceblind
29,0,4,0,0,raceblind
30,0,4,0,0,raceblind
31,0,4,0,0,raceblind
32,0,4,0,0,raceblind
33,0,4,0,0,raceblind
34,0,4,0,0,raceblind
35,0,4,0,0,raceblind
36,0,4,0,0,raceblind
37,0,4,0,0,raceblind
38,0,4,0,0,raceblind
39,0,4,0,0,raceblind
40,0,4,0,0,raceblind
41,0,4,0,0,raceblind
42,0,4,0,0,raceblind
43,0,4,0,0,raceblind
44,0,4,0,0,raceblind
45,0,4,0,0,raceblind
46,0,4,0,0,raceblind
47,0,4,0,0,raceblind
48,0,4,0,0,raceblind
49,0,4,0,0,raceblind
50,0,4,0,0,raceblind
51,0,4,0,0,raceblind
52,0,4,0,0,raceblind
53,0,4,0,0,raceblind
54,0,4,0,0,raceblind
55,0,4,0,0,raceblind
56,0,4,0,0,raceblind
57,0,4,0,0,raceblind
58,0,4,0,0,raceblind
59,0,4,0,0,raceblind
60,0,4,0,0,raceblind
61,0,4,0,0,raceblind
62,0,4,0,0,raceblind
63,0,4,0,0,raceblind
64,0,4,0,0,raceblind
